PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40203204,Pilot Testing of Build StaMINA: A Tailored Physical Activity Program for Adults Receiving Treatment for Acute Myeloid Leukemia.,"{'Year': '2024', 'Month': 'Sep', 'Day': '27'}",[],[],
40203088,CD22 TCR-engineered T cells exert antileukemia cytotoxicity without causing inflammatory responses.,"{'Year': '2025', 'Month': 'Apr', 'Day': '11'}",[],[],
40202761,Symptomatic Necrosis With Dual Immune-Checkpoint Inhibition and Radiosurgery for Brain Metastases.,"{'Year': '2025', 'Month': 'Apr', 'Day': '01'}",[],[],
40202480,Fluoropyrimidine Therapy in Gastrointestinal Cancer: Balancing Survival Benefits and Cardiotoxicity Risks.,"{'Year': '2025', 'Month': 'Mar', 'Day': '20'}",[],[],
40201962,The #HOPE4LIVER single-arm Pivotal Trial for Histotripsy of Primary and Metastatic Liver Tumors: 1-year Update of Clinical Outcomes.,"{'Year': '2025', 'Month': 'Apr', 'Day': '09'}",[],[],
40201799,Prognostic value of baseline EORTC QLQ-C30 scores for overall survival across 46 clinical trials covering 17 cancer types: a validation study.,"{'Year': '2025', 'Month': 'Apr'}",[],[],
40201222,ALBI Grade Enables Risk Stratification for Bleeding Events and Refines Prognostic Prediction in Advanced HCC Following Atezolizumab and Bevacizumab.,{'Year': '2025'},[],[],
40200920,The oligosaccharyltransferase complex is an essential component of multiple myeloma plasma cells.,"{'Year': '2025', 'Month': 'Jun', 'Day': '18'}",[],[],
40200573,Trifluridine/Tipiracil and Oxaliplatin as Induction Chemotherapy in Resectable Esophageal and Gastroesophageal Junction Adenocarcinoma: A Phase II Study.,"{'Year': '2025', 'Month': 'Apr'}",[],[],
40198940,"Pembrolizumab versus placebo as adjuvant therapy in resected stage IIB or IIC melanoma: Long-term follow-up, crossover, and rechallenge with pembrolizumab in the phase III KEYNOTE-716 study.","{'Year': '2025', 'Month': 'Mar', 'Day': '23'}",[],[],
40196378,Recent Advances in Immune Checkpoint Inhibitors for Triple-Negative Breast Cancer.,{'Year': '2025'},[],[],
40195455,Opportunities and challenges for MRD assessment in the clinical management of multiple myeloma.,"{'Year': '2025', 'Month': 'Apr', 'Day': '07'}",[],[],
40193173,Shedding LIGHT on the changing landscape of poly-ADP ribose polymerase inhibitors in ovarian cancer.,"{'Year': '2025', 'Month': 'Apr', 'Day': '15'}",[],[],
40193078,"Cytokine Storms in COVID-19, Hemophagocytic Lymphohistiocytosis, and CAR-T Therapy.","{'Year': '2025', 'Month': 'Apr', 'Day': '01'}",[],[],
40190584,A Case of Post-Endobronchial Ultrasound Polymicrobial Pericarditis and Mediastinitis in Metastatic Renal Cell Carcinoma.,"{'Year': '2025', 'Season': 'Jan-Dec'}",[],[],
40190387,DNA Mismatch Repair Deficiency as a Biomarker in Sarcoma.,"{'Year': '2024', 'Month': 'Dec'}",[],[],
40189749,Surrogate markers of intestinal dysfunction associated with survival in advanced cancers.,"{'Year': '2025', 'Month': 'Dec'}",[],[],
40188436,PLK1 blockade enhances the anti-tumor effect of MAPK inhibition in pancreatic ductal adenocarcinoma.,"{'Year': '2025', 'Month': 'Apr', 'Day': '05'}",[],[],
40188007,ROCC/GOG-3043: a randomized controlled trial of robotic versus open surgery for early-stage cervical cancer.,"{'Year': '2025', 'Month': 'Feb', 'Day': '28'}",[],[],
40187939,"Advancing the Management of CH, MDS, and AML From the First Bridging the Gaps in Leukemia, Lymphoma, and Multiple Myeloma Conference.","{'Year': '2025', 'Month': 'Mar', 'Day': '13'}",[],[],
40187749,Topical TLR7 agonist and radiotherapy in patients with metastatic breast cancer.,"{'Year': '2025', 'Month': 'Apr', 'Day': '05'}",[],[],
40187267,Clinical characteristics and prognostic factors in patients with breast cancer and leptomeningeal metastases from a large registry of BMBC.,"{'Year': '2025', 'Month': 'Mar', 'Day': '28'}",[],[],
40185701,Venetoclax-based treatment combinations in relapsed/refractory multiple myeloma: practice patterns and impact of secondary cytogenetic abnormalities on outcomes.,"{'Year': '2025', 'Month': 'Apr', 'Day': '04'}",[],[],
40185207,American Radium Society™ Appropriate Use Criteria Systematic Review and Guidelines on Reirradiation for Non-small Cell Lung Cancer Executive Summary.,"{'Year': '2025', 'Month': 'Apr', 'Day': '02'}",[],[],
40185160,Diagnosis and treatment of radiation induced pneumonitis in patients with lung cancer: An ESTRO clinical practice guideline.,"{'Year': '2025', 'Month': 'Apr', 'Day': '02'}",[],[],
40184846,Activity of lenvatinib-based therapy in previously treated patients with metastatic renal cell carcinoma: A European multicenter study (LENVA-LAT).,"{'Year': '2025', 'Month': 'Mar', 'Day': '26'}",[],[],
40184664,Systemic inflammation in response to radiation drives the genesis of an immunosuppressed tumor microenvironment.,"{'Year': '2025', 'Month': 'Apr', 'Day': '03'}",[],[],
40183852,"Lessons learned from a decade of immune checkpoint inhibition: The good, the bad, and the ugly.","{'Year': '2025', 'Month': 'Apr', 'Day': '04'}",[],[],
40183599,Retrospective analysis to validate the CTS5 in patients from El Álamo IV registry and GEICAM adjuvant studies.,"{'Year': '2025', 'Month': 'Apr', 'Day': '04'}",[],[],
40181973,Molecular analysis of immune checkpoint inhibitor associated erythema nodosum-like toxicity.,{'Year': '2025'},[],[],
40181959,Patient-reported outcomes with subcutaneous immunoglobulin in secondary immunodeficiency.,{'Year': '2025'},[],[],
40180935,Cutaneous melanoma.,"{'Year': '2025', 'Month': 'Apr', 'Day': '03'}",[],[],
40180903,Molecular characterization of newly diagnosed acute myeloid leukemia patients aged 60 years or older: a report from the Beat AML clinical trial.,"{'Year': '2025', 'Month': 'Apr', 'Day': '03'}",[],[],
40180682,Safety and Tolerability of Relugolix in Combination with Abiraterone or Apalutamide for Treatment of Patients with Advanced Prostate Cancer: Data from a 52-Week Clinical Trial.,"{'Year': '2025', 'Month': 'Apr', 'Day': '04'}",[],[],
40180521,The weight of air: a Commission on palliative care integration in serious respiratory illness.,"{'Year': '2025', 'Month': 'Apr'}",[],[],
40180419,Impact of tumor localization on antitumor immunity with conditionally activated CTLA-4 blockade.,"{'Year': '2025', 'Month': 'Apr', 'Day': '02'}",[],[],
40179915,"Innovative, early-phase clinical trials of drug-radiotherapy combinations.","{'Year': '2025', 'Month': 'Apr'}",[],[],
40179908,"Patient-reported outcomes from the MIRASOL trial evaluating mirvetuximab soravtansine versus chemotherapy in patients with folate receptor α-positive, platinum-resistant ovarian cancer: a randomised, open-label, phase 3 trial.","{'Year': '2025', 'Month': 'Apr'}",[],[],
40179907,"First-line talazoparib plus enzalutamide versus placebo plus enzalutamide in men with metastatic castration-resistant prostate cancer and homologous recombination repair gene alterations: patient-reported outcomes from the randomised, double-blind, placebo-controlled, phase 3 TALAPRO-2 trial.","{'Year': '2025', 'Month': 'Apr'}",[],[],
40179906,"First-line talazoparib plus enzalutamide versus placebo plus enzalutamide for metastatic castration-resistant prostate cancer: patient-reported outcomes from the randomised, double-blind, placebo-controlled, phase 3 TALAPRO-2 trial.","{'Year': '2025', 'Month': 'Apr'}",[],[],
40179821,FOLFIRI with cetuximab or bevacizumab in RAS wild-type metastatic colorectal cancer: Refining first-line treatment selection by combining clinical parameters: A post hoc analysis of the randomized open-label phase III trial FIRE-3/AIO KRK0306.,"{'Year': '2025', 'Month': 'Mar', 'Day': '25'}",[],[],
40179590,EORTC consensus recommendations on the optimal management of colorectal cancer liver metastases.,"{'Year': '2025', 'Month': 'Mar', 'Day': '27'}",[],[],
40179327,Multiplex Spatial Proteomic Analysis of HER2-Positive Breast Tumors Reveals Unique Molecular and Immunologic Features Associated With Treatment Response.,"{'Year': '2025', 'Month': 'Apr'}",[],[],
40178841,Cost of Neoadjuvant Immunotherapy vs Up-Front Surgery in Cutaneous Squamous Cell Carcinoma: A Post Hoc Analysis of a Nonrandomized Clinical Trial.,"{'Year': '2025', 'Month': 'Apr', 'Day': '03'}",[],[],
40178604,Navigating the peginterferon Alfa-2a shortage: practical guidance on transitioning patients to ropeginterferon alfa-2b.,"{'Year': '2025', 'Month': 'Apr', 'Day': '03'}",[],[],
40177586,Outcomes and Risk Factors for Influenza and Respiratory Syncytial Virus Lower Respiratory Tract Infections and Mortality in Patients With Lymphoma or Multiple Myeloma: A 7-Year Retrospective Cohort Study.,"{'Year': '2025', 'Month': 'Apr'}",[],[],
40176778,Respiratory Syncytial Virus Incidence in Young Children in the United States: Impact of Methodologies and Patient Characteristics.,"{'Year': '2025', 'Month': 'Apr'}",[],[],
40175336,Real-world evaluation of teclistamab for the treatment of relapsed/refractory multiple myeloma (RRMM): an International Myeloma Working Group Study.,"{'Year': '2025', 'Month': 'Apr', 'Day': '03'}",[],[],
40175263,"Expert Perspectives on Current Challenges and Emerging Approaches for Multiple Myeloma: Narrative Review of an Inaugural Bridging the Gaps in Leukemia, Lymphoma, and Multiple Myeloma.","{'Year': '2025', 'Month': 'Mar', 'Day': '11'}",[],[],
40175013,"New Threshold for Defining Mild Aortic Stenosis Derived From Velocity-Encoded MRI in 60,000 Individuals.","{'Year': '2025', 'Month': 'Apr', 'Day': '08'}",[],[],
40175003,"Quality-of-life endpoints collection, reporting, and framing in randomised trials of indolent lymphomas: a systematic review.","{'Year': '2025', 'Month': 'Apr'}",[],[],
40174648,Requirements and study design for the next proton FLASH clinical trials: an international multidisciplinary Delphi consensus.,"{'Year': '2025', 'Month': 'Mar', 'Day': '31'}",[],[],
40174387,Reduced dosing of lenvatinib with pembrolizumab for advanced endometrial cancer.,"{'Year': '2025', 'Month': 'Apr', 'Day': '01'}",[],[],
40172900,Pembrolizumab in Relapsed or Refractory Mycosis Fungoides or Sézary Syndrome.,"{'Year': '2025', 'Month': 'Apr', 'Day': '02'}",[],[],
40172870,Preventive Health Care Use Among Adults Eligible for Lung Cancer Screening in the US.,"{'Year': '2025', 'Month': 'Apr', 'Day': '02'}",[],[],
40172157,"{'sup': 'G12C', '#text': 'Advances in the treatment of KRAS mutant non-small cell lung cancer.'}","{'Year': '2025', 'Month': 'Mar', 'Day': '15'}",[],[],
40171987,Treatment of non-small cell lung cancer with RET rearrangements.,"{'Year': '2025', 'Month': 'Mar', 'Day': '15'}",[],[],
40171232,Access to Medical Research is a Basic Human Right: A Roadmap to Research Integration Into a Practical Hepatocellular Carcinoma Treatment Allocation Algorithm (HCC-TAA).,{'Year': '2025'},[],[],
40170983,"PD-L1, Tumor Mutational Burden, and Outcomes in NSCLC With Brain Metastases: A Brief Report.","{'Year': '2025', 'Month': 'Apr'}",[],[],
40170864,Editorial: Vector-based gene delivery in cancer immunotherapy.,{'Year': '2025'},[],[],
40170549,Multicancer early detection testing: Guidance for primary care discussions with patients.,"{'Year': '2025', 'Month': 'Apr', 'Day': '01'}",[],[],
40170515,Use of Real-World Claims Data to Assess the Prevalence of Concomitant Medications to Inform Drug-Drug Interaction Risk in Target Patient Populations.,"{'Year': '2025', 'Month': 'Apr', 'Day': '01'}",[],[],
40169864,An inflammatory biomarker signature of response to CAR-T cell therapy in non-Hodgkin lymphoma.,"{'Year': '2025', 'Month': 'Apr', 'Day': '01'}",[],[],
40168999,"TIMEPOINT, a phase 1 study combining MTL-CEBPA with pembrolizumab, supports the immunomodulatory effect of MTL-CEBPA in solid tumors.","{'Year': '2025', 'Month': 'Mar', 'Day': '26'}",[],[],
40167839,ASO Visual Abstract: Blood Sample Collection in Randomized Controlled Trials for Biomarker Discovery and Validation: Experience of the PREOPANC-2 Trial.,"{'Year': '2025', 'Month': 'Apr', 'Day': '01'}",[],[],
40167599,Tumor cell heterogeneity drives spatial organization of the intratumoral immune response.,"{'Year': '2025', 'Month': 'Jun', 'Day': '02'}",[],[],
40166973,"Phase II Trial of Chemotherapy, Cetuximab, and Erlotinib in Patients With Metastatic or Recurrent Squamous Cell Carcinoma of the Head and Neck.","{'Year': '2025', 'Month': 'Apr', 'Day': '01'}",[],[],
40166913,Phase II Study of Nivolumab and Ipilimumab for Treatment of Metastatic/Recurrent Adenoid Cystic Carcinoma (ACC) of all Anatomic Sites of Origin and Other Malignant Salivary Gland Tumors.,"{'Year': '2025', 'Month': 'Apr'}",[],[],
40165979,"Healthcare Resource Utilization and Cost Comparison Between Palbociclib, Abemaciclib, and Ribociclib Among Patients with HR+/HER2- Metastatic Breast Cancer.",{'Year': '2025'},[],[],
40165400,Quality-Adjusted Time Without Symptoms of Disease or Toxicity (Q-TWiST) in Patients With Newly Diagnosed Philadelphia Chromosome-Positive Acute Lymphoblastic Leukemia: A Comparison of Ponatinib Versus Imatinib.,"{'Year': '2025', 'Month': 'Apr'}",[],[],
40164700,Racial variation in the advanced prostate cancer genome.,"{'Year': '2025', 'Month': 'Mar', 'Day': '31'}",[],[],
40164584,Oral decitabine cedazuridine with and without venetoclax in higher-risk myelodysplastic syndromes or chronic myelomonocytic leukemia: a propensity score-matched study.,"{'Year': '2025', 'Month': 'Mar', 'Day': '31'}",[],[],
40163696,"Prevalence by therapy line and incidence of breast cancer brain metastases in 18,075 patients.","{'Year': '2025', 'Month': 'Mar', 'Day': '31'}",[],[],
40163689,Unmet need for previously untreated metastatic triple-negative breast cancer: a real-world study of patients diagnosed from 2011 to 2022 in the United States.,"{'Year': '2025', 'Month': 'Mar', 'Day': '10'}",[],[],
40163688,Fruquintinib versus placebo in patients with refractory metastatic colorectal cancer: safety analysis of FRESCO-2.,"{'Year': '2025', 'Month': 'Mar', 'Day': '10'}",[],[],
40163189,Novel Estrogen Receptor - Targeted Therapies in Hormone-Receptor Positive Breast Cancer.,"{'Year': '2025', 'Month': 'Apr'}",[],[],
40163049,Budget impact of introducing glofitamab for treatment of relapsed or refractory diffuse large B-cell lymphoma after two or more lines of systemic therapy in the United States.,"{'Year': '2025', 'Month': 'Mar', 'Day': '31'}",[],[],
40160974,"{'i': 'ALK', '#text': 'Longitudinal Tracking of -Rearranged NSCLC From Plasma Using Circulating Tumor RNA and Circulating Tumor DNA.'}","{'Year': '2025', 'Month': 'Apr'}",[],[],
40159245,Correlation analysis of invasive disease-free survival and overall survival in a real-world population of patients with HR+/HER2- early breast cancer.,"{'Year': '2025', 'Month': 'Apr', 'Day': '01'}",[],[],
