PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40044856,Fine-scale patterns of SARS-CoV-2 spread from identical pathogen sequences.,"{'Year': '2025', 'Month': 'Apr'}",[],[],
40044572,Patients with systemic autoimmune rheumatic diseases remain at risk for hospitalisation for COVID-19 infection in the Omicron era (2022-2024): a retrospective cohort study.,"{'Year': '2025', 'Month': 'Mar', 'Day': '05'}",[],[],
40042313,"XBB.1.5 monovalent vaccine induces lasting cross-reactive responses to SARS-CoV-2 variants such as HV.1 and JN.1, as well as SARS-CoV-1, but elicits limited XBB.1.5 specific antibodies.","{'Year': '2025', 'Month': 'Apr', 'Day': '09'}",[],[],
40036243,"Ongoing Symptoms After Acute SARS-CoV-2 or Influenza Infection in a Case-Ascertained Household Transmission Study: 7 US Sites, 2021-2023.","{'Year': '2025', 'Month': 'Feb', 'Day': '26'}",[],[],
40036152,"Higher dose corticosteroids in hospitalised COVID-19 patients requiring ventilatory support (RECOVERY): a randomised, controlled, open-label, platform trial.","{'Year': '2025', 'Month': 'Mar'}",[],[],
40036106,Comparative efficacy of leading COVID-19 vaccines: A network meta-analysis.,"{'Year': '2025', 'Month': 'Jan'}",[],[],
40034704,XBB.1.5 mRNA COVID-19 vaccine protection against inpatient or emergency department visits among adults infected with SARS-CoV-2 JN.1 and XBB-lineage variants.,{'Year': '2025'},[],[],
40034643,Purpura Annularis Telangiectodes of Majocchi Following a Booster Dose of the Pfizer-BioNTech COVID-19 Vaccine: Coincidence or Correlation?,"{'Year': '2025', 'Month': 'Feb'}",[],[],
40026197,High-accuracy Detection of PD-L1 3'-UTR Disruption by Immunohistochemistry and Fluorescence in Situ Hybridization on Formalin-fixed Paraffin-embedded Sections.,"{'Year': '2025', 'Month': 'Mar', 'Day': '03'}",[],[],
40020259,"Early, very high-titre convalescent plasma therapy in clinically vulnerable individuals with mild COVID-19: an international, randomised, open-label trial.","{'Year': '2025', 'Month': 'Mar'}",[],[],
40020121,Effect of immunomodulatory agents on the response to COVID-19 vaccination among patients with neuromuscular diseases: A single center experience.,"{'Year': '2025', 'Month': 'Feb', 'Day': '28'}",[],[],
40017919,Post-acute sequelae of hospitalised COVID-19 re-infection compared with hospitalised first-time infection: a population-based retrospective cohort study in Hong Kong.,"{'Year': '2025', 'Month': 'Jan'}",[],[],
40015737,The role of masks and respirators in preventing respiratory infections in healthcare and community settings.,"{'Year': '2025', 'Month': 'Feb', 'Day': '27'}",[],[],
40015292,"Efficacy and safety of sipavibart for prevention of COVID-19 in individuals who are immunocompromised (SUPERNOVA): a randomised, controlled, double-blind, phase 3 trial.","{'Year': '2025', 'Month': 'Feb', 'Day': '24'}",[],[],
